Row,Company,Ask for,Dial,Phone,What this call is,Notes
"1","Michaelis Corporation","","3172511935","(317) 251-1935","Cold call → demo #","2026-08-23 sourced"
"2","Restorex Disaster Restoration","","3173155071","(317) 315-5071","Cold call → demo #","2026-08-23 sourced"
"3","Indiana Restoration & Cleaning Services","","3177769942","(317) 776-9942","Cold call → demo #","2026-08-23 sourced"
"4","J.L. Fox Inc","","3172554144","(317) 255-4144","Cold call → demo #","2026-08-23 sourced"
"5","Absolute Restoration LLC","Randy George (Owner)","3178714074","(317) 871-4074","Cold call, ask for Randy by name","2026-08-23 sourced"
"6","Icon Property Rescue","","5134266767","(513) 426-6767","Cold call → demo #","2026-08-23 sourced"
"7","Dry Effect Restoration Services","","5137632121","(513) 763-2121","Cold call → demo #","2026-08-23 sourced"
"8","WayMakers Restoration","","6143250678","(614) 325-0678","Cold call → demo #","2026-08-23 sourced"
"9","PHG Restoration Services","Josh Clifton (Owner)","6143593154","(614) 359-3154","Cold call, ask for Josh by name","2026-08-23 sourced"
"10","AIM Green Restoration","","6148778855","(614) 877-8855","Cold call → demo #","2026-08-23 sourced"
"11","Dry Patrol","Bryan Daughtry (Founder)","7404179006","(740) 417-9006","Cold call, ask for Bryan by name","2026-08-23 sourced"
"12","Maximum Restoration","","9372030123","(937) 203-0123","Cold call → demo #","2026-08-23 sourced"
"13","Active Restoration","","9374319999","(937) 431-9999","Cold call → demo #","2026-08-23 sourced"
"14","Disaster X","","9373434357","(937) 343-4357","Cold call → demo #","2026-08-23 sourced"
"15","Design Restoration & Reconstruction","","3305630010","(330) 563-0010","Cold call → demo #","2026-08-23 sourced"
"16","Water Extraction Team","","4409530767","(440) 953-0767","Cold call → demo #","2026-08-23 sourced"
"17","Pine Ridge Restoration","","4402763636","(440) 276-3636","Cold call → demo #","2026-08-23 sourced"
"18","Cleveland Masters of Disasters","Larry","2166631111","(216) 663-1111","Cold call, ask for Larry by name","2026-08-23 sourced"
"19","Integrated Restoration","","2163613473","(216) 361-3473","Cold call → demo #","2026-08-23 sourced"
"20","Disaster Recovery Services","","3303957878","(330) 395-7878","Cold call → demo #","2026-08-23 sourced"
