Company,Ask for,Phone,Dial,Email,Next action
"Pride Cleaning & Restoration","","(314) 668-1223","3146681223","","Cold call (ask who owns)"
"St. Louis Cleaning & Restoration","","(314) 439-1665","3144391665","","Cold call → demo #"
"Smoke Services Restoration","Metro East","(618) 234-9696","6182349696","","Cold call → demo #"
"Midwest Flood","","(314) 772-1788","3147721788","","Find number first"
"Restoration Solutions","","(417) 988-5314","4179885314","","Find number first"
"Mr. Power Clean","","(417) 881-8989","4178818989","","Find number first"
"Water Damage 24","","(501) 408-4062","5014084062","","Find number first"
"Patriot Water Damage","","(918) 800-3372","9188003372","","Find number first"
"Tri County Cleaning Systems","","(309) 266-5755","3092665755","","Cold call → demo #"
"Vital Restoration","Timothy Brown (Owner)","(217) 679-0254","2176790254","","Cold call → demo #"
"Peerless Cleaning & Restoration","","(217) 423-7704","2174237704","","Cold call → demo #"
"Shadco Restoration & Reconstruction","","(314) 600-3001","3146003001","","Cold call → demo #"
"Water Damage Restoration Eldon","","(573) 226-0622","5732260622","","Cold call → demo #"
"STL Mold Removal","","(314) 936-4445","3149364445","","Cold call → demo #"
"U.S. Disaster Restoration","","(573) 552-1972","5735521972","","Cold call → demo #"
"Phoenix Renovation & Restoration","","(913) 599-0055","9135990055","","Cold call (confirm headcount fits ICP)"
"Sansara 24/7 Restoration & Remodeling","","(636) 812-3838","6368123838","","Cold call → demo #"
"Restoration Services (RestorationServicesKC)","","(816) 286-5835","8162865835","","Cold call → demo #"
"Tri Cat Restoration","","(417) 200-2018","4172002018","","Cold call → demo #"
"Repairs Unlimited (RUI Restoration)","","(913) 262-6937","9132626937","","Cold call → demo #"
"Restore & More","Mike (Owner)","(913) 247-4379","9132474379","","Cold call → demo #"
"B.J.'s Restoration","","(309) 829-1500","3098291500","","Find number first"
"White Construction Co","","(217) 442-7594","2174427594","","Verify phone first"
"Water Damage Pro of Edwardsville","","(618) 800-3633","6188003633","","Verify independence (possible lead-gen network)"
"Simpson Restoration LLC","","(417) 759-5117","4177595117","","Find number first"
"Bryant Restoration","","(573) 366-6351","5733666351","","Verify phone first"
"Greene Planet","","(417) 415-4357","4174154357","","Find number first"
"Beadles Property Maintenance","","(417) 840-3330","4178403330","","Find number first"
"McDowell Roofing & Restoration","","(417) 540-3947","4175403947","","Find number first"
"True North Exteriors","","(417) 437-2707","4174372707","","Find number first"
"KennCo Construction","","(417) 881-8147","4178818147","","Find number first"
"Compass Restoration LLC","","(417) 887-4357","4178874357","","Find number first"
"RC Restoration LLC","","(563) 543-3121","5635433121","","Verify fit (markets as roofing co)"
"Service Pro Restoration","","(515) 517-1283","5155171283","","Verify phone first"
"Service Pros (Service Restore Pro)","","(319) 299-2080","3192992080","","Verify phone first"
"True North Restoration of Iowa (Cedar Valley)","","(319) 220-3228","3192203228","","Verify phone first"
"Siouxland Restoration Inc","","(712) 481-4325","7124814325","","Verify phone first"
"Power Restoration of Rockford","","(815) 721-3493","8157213493","","Verify phone first"
"ProSteam Branson","","(417) 598-2080","4175982080","","Verify phone first"
"Performance Restoration LLC","","(319) 626-2292","3196262292","","Verify phone first"
"Srita & Sons Restoration","","(479) 900-2639","4799002639","","Cold call → demo #"
"Wall 2 Wall Restoration","Kevin","(479) 252-6650","4792526650","","Cold call → demo #"
"Safe Home Restoration of NW Arkansas","","(479) 257-5960","4792575960","","Cold call → demo #"
"RESTORx (Northern Illinois)","","(815) 235-9606","8152359606","","Cold call → demo #"
"Simply Clean of the QC","Matt Hamilton (Owner)","(309) 797-7740","3097977740","","Cold call → demo #"
"Water Damage Restore","","(515) 420-0411","5154200411","","Cold call → demo #"
"Restore It Restoration LLC","","(573) 632-9283","5736329283","","Verify phone first"
"SteamPro Restoration","","(870) 793-4834","8707934834","","Cold call → demo #"
"Veteran Restoration","Steven Gern (President)","(469) 521-9511","4695219511","","Cold call → demo #"
"Restoration Warriors","Jordan Plunk (Owner)","(903) 278-1120","9032781120","","Cold call → demo #"
"CleanWay Restoration & Construction","Nate & Shawn Easley","(800) 570-2320","8005702320","","Verify phone first"
"Arkansas Restoration Services, Inc.","","(479) 967-2018","4799672018","","Verify phone first"
"Titan Restoration & Cleaning","Robert & Leslie Gamez (Owners)","(940) 782-9211","9407829211","","Verify phone first"
"Phoenix Restoration Services, Inc.","Dave Salas (Owner)","(620) 276-6994","6202766994","","Verify phone first"
"Stover's Restoration, Inc.","","(316) 722-5005","3167225005","","Verify phone first"
"Teddy's Cleaning & Restoration LLC","","(405) 202-2401","4052022401","","Find number first"
"Pro Clean Restoration & Floor Care","","(636) 233-6826","6362336826","","Cold call → demo #"
"Schultz Restoration LLC","","(573) 253-8030","5732538030","","Cold call (confirm headcount fits ICP)"
"Steam Power Carpet Cleaning","","(217) 585-8620","2175858620","","Verify restoration is a real revenue line, then call"
"Sullivan's Cleaning & Restoration","Patrick Sullivan (Owner)","(920) 337-1986","9203371986","","Cold call → demo #"
